"","x"
"1","GNMT"
"2","REC8"
"3","FDFT1"
"4","RP11-297N6.4"
"5","EID3"
"6","ARHGEF18"
"7","CTB-133G6.2"
"8","CTD-2544N14.3"
"9","HTRA4"
"10","PLEKHA2"
"11","TRIOBP"
"12","CD164L2"
"13","FCN3"
"14","MAP3K6"
"15","CTC-435M10.3"
"16","TMEM91"
"17","MSRB3"
"18","ANXA11"
"19","LINC00857"
"20","UBE2C"
"21","CAPG"
"22","SH2D6"
"23","PCDHGA12"
"24","ZIC1"
"25","ZIC4"
"26","WT1-AS"
"27","WT1"
"28","MARVELD2"
"29","OXT"
"30","ESRP2"
"31","PLA2G15"
"32","RP11-96D1.11"
"33","RP11-96D1.6"
"34","FBXO17"
"35","GATA3-AS1"
"36","GATA3"
"37","RP11-379F12.3"
"38","RP11-379F12.4"
"39","GALR1"
"40","VWA3B"
"41","AMT"
"42","NICN1-AS1"
"43","ADORA2A-AS1"
"44","UPB1"
"45","PCDHGA5"
"46","PCDHGA6"
"47","PCDHGB2"
"48","PCDHGB3"
"49","BRICD5"
"50","DNASE1L2"
"51","E4F1"
"52","MLST8"
"53","PGP"
"54","RP11-304L19.11"
"55","RP11-304L19.12"
"56","RP11-304L19.8"
"57","RAB36"
"58","RTDR1"
"59","MICB"
"60","Y_RNA"
"61","HOXA3"
"62","HOXA5"
"63","HOXA6"
"64","HOXA-AS3"
"65","RP1-170O19.22"
"66","RP1-170O19.23"
"67","COL11A2"
"68","RNF39"
"69","PDLIM4"
"70","CDKL2"
"71","ACSF2"
"72","CHAD"
"73","AC025165.8"
"74","ARHGEF25"
"75","DTX3"
"76","PIP4K2C"
"77","SLC26A10"
"78","SGIP1"
"79","ENTPD3"
"80","HAS3"
"81","DUOX1"
"82","DUOXA1"
"83","HOXC6"
"84","HOXC9"
"85","HOXC-AS1"
"86","HOXC-AS2"
"87","AC012531.25"
"88","HOXC4"
"89","RP11-834C11.14"
"90","ZNF154"
"91","C9orf47"
"92","S1PR3"
"93","TRIM10"
"94","TRIM15"
"95","CKMT2"
"96","MTX3"
"97","THBS4"
"98","XKR6"
"99","AP3S2"
"100","C15orf38-AP3S2"
"101","C15orf38"
"102","MIR5009"
"103","RNU6-1111P"
"104","RNU7-111P"
"105","TMEM196"
"106","MARCH11"
"107","RP11-19O2.2"
"108","ITGB2-AS1"
"109","ITGB2"
"110","LL21NC02-1C16.1"
"111","LL21NC02-1C16.2"
"112","FCHSD1"
"113","AGPAT1"
"114","EGFL8"
"115","FKBPL"
"116","PPT2-EGFL8"
"117","PPT2"
"118","PRRT1"
"119","GRHL2"
"120","KB-1562D12.1"
"121","CTD-2377O17.1"
"122","FAM169A"
"123","AC092669.1"
"124","MEIS1-AS2"
"125","MEIS1"
"126","PLA2R1"
"127","RP1-170O19.17"
"128","EVX1-AS"
"129","EVX1"
"130","CTA-85E5.10"
"131","HORMAD2"
"132","HOXA7"
"133","RP1-170O19.21"
"134","NKAPL"
"135","ZKSCAN4"
"136","FAM229A"
"137","TSSK3"
"138","IQSEC1"
"139","ANKRD53"
"140","C3orf62"
"141","MIR4271"
"142","USP4"
"143","RPS6KL1"
"144","RNH1"
"145","CCDC81"
"146","PLEKHG6"
"147","CELF6"
"148","EPHA1-AS1"
"149","EPHA1"
"150","DLEU7"
"151","ACTN3"
"152","ZDHHC24"
"153","KDM2B"
"154","RP13-941N14.1"
"155","DNALI1"
"156","RP3-423B22.5"
"157","SCHIP1"
"158","CMYA5"
"159","ALDOC"
"160","CNN3"
"161","RP4-639F20.1"
"162","RARA"
"163","LAX1"
"164","P2RY2"
"165","RP11-800A3.2"
"166","RUSC1-AS1"
"167","RUSC1"
"168","ABAT"
"169","RN7SL743P"
"170","FEZF1-AS1"
"171","FEZF1"
"172","LAD1"
"173","PHOX2A"
"174","ANKDD1A"
"175","MPV17"
"176","TRIM54"
"177","UCN"
"178","ADAMTS12"
"179","AL161668.5"
"180","NDRG2"
"181","TPPP2"
"182","CHTOP"
"183","RP1-178F15.4"
"184","RP1-178F15.5"
"185","S100A13"
"186","S100A1"
"187","SYT1"
"188","TBX5-AS1"
"189","TBX5"
"190","AK1"
"191","RP11-203J24.9"
"192","ST6GALNAC6"
"193","SLC25A21-AS1"
"194","SLC25A21"
"195","HIST1H2BE"
"196","LARP1P1"
"197","ENPP5"
"198","LAMC2"
"199","HPSE2"
"200","NEUROD2"
"201","RASGRP4"
"202","RYR1"
"203","DLX4"
"204","RNU6-1313P"
"205","IL12RB2"
"206","EME2"
"207","MAPK8IP3"
"208","MRPS34"
"209","NME3"
"210","NUBP2"
"211","SPSB3"
"212","IZUMO1"
"213","RASIP1"
"214","CEACAM21"
"215","RP4-728D4.2"
"216","TFAP2E"
"217","TOX2"
"218","MFSD1"
"219","RARRES1"
"220","RP11-379F4.4"
"221","C12orf42"
"222","RP11-626I20.1"
"223","RP11-626I20.2"
"224","GPR135"
"225","HOTAIRM1"
"226","HOXA2"
"227","B3GALT6"
"228","FAM132A"
"229","RP5-902P8.12"
"230","SDF4"
"231","UBE2J2"
"232","SYT6"
"233","CTC-550B14.6"
"234","GP6"
"235","RDH13"
"236","RFX4"
"237","NKX2-6"
"238","RP11-175E9.1"
"239","ELTD1"
"240","RGL3"
"241","MSX1"
"242","RP11-399K21.11"
"243","ZNF503-AS2"
"244","ZNF503"
"245","RP11-307B6.3"
"246","SHISA4"
"247","BRINP3"
"248","RP11-547I7.2"
"249","CUZD1"
"250","FAM24B"
"251","RP11-564D11.3"
"252","VARS"
"253","HOXD12"
"254","ZNF300"
"255","AC105247.1"
"256","CABLES1"
"257","CARHSP1"
"258","RP11-77H9.6"
"259","CTD-2194D22.3"
"260","CTD-2194D22.4"
"261","IRX4"
"262","LHX1"
"263","RP11-445F12.1"
"264","CMTM2"
"265","RP11-403P17.2"
"266","CRIP3"
"267","RP11-480N24.3"
"268","NKX2-4"
"269","RP11-227D2.3"
"270","BOLL"
"271","CDK20"
