"","seqnames","start","end","width","strand","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"DMR_1","chr4",1294432,1295078,646,"*",-1.61712619998118,12.9370095998494,301718,96273,96280,8,8,2.63817438332674e-05,0.008,0.00403640680648991,0.528
"DMR_2","chr8",19539991,19540734,743,"*",-1.50078616662877,15.0078616662877,393696,127104,127113,10,11,9.67330607219804e-05,0.024,0.00215450907971684,0.388
"DMR_3","chr5",158636937,158637684,747,"*",-1.51830717783038,12.1464574226431,339215,107226,107233,8,14,8.79391461108913e-05,0.024,0.00512685221826496,0.556
"DMR_4","chr21",34774627,34775045,418,"*",-1.3931344094101,9.75194086587073,261437,84478,84484,7,9,0.000281405267554852,0.044,0.0127511761860792,0.776
"DMR_5","chr2",33359059,33359688,629,"*",-1.31482583671898,14.4630842039088,219020,72886,72896,11,11,0.000290199182165941,0.052,0.00259420481027129,0.412
"DMR_6","chr6",32904074,32905320,1246,"*",-1.25120651481301,15.0144781777562,350457,114237,114248,12,12,0.000334168755221387,0.068,0.00213692125049466,0.384
"DMR_7","chr6",30624395,30624769,374,"*",-1.280892162466,10.247137299728,349467,111250,111257,8,14,0.000624367937387328,0.104,0.0105878731917513,0.768
"DMR_8","chr3",171528663,171529090,427,"*",-1.2760062663172,7.65603759790321,296588,94871,94876,6,8,0.00070351316888713,0.116,0.0305412654443125,0.936
"DMR_9","chr6",30297174,30297627,453,"*",-1.20128974707535,10.8116077236782,349345,110825,110833,9,9,0.000853009717275645,0.148,0.0084069823682012,0.68
"DMR_10","chr12",6745171,6745707,536,"*",-1.07719291284367,11.8491220412803,88965,28450,28460,11,12,0.00103768192410852,0.192,0.0056632810095414,0.58
"DMR_11","chr9",130524573,130525059,486,"*",-1.08610485914677,9.77494373232097,422225,133048,133056,9,9,0.00181154640988436,0.26,0.0126720309545794,0.776
"DMR_12","chr4",6695319,6695698,379,"*",-1.10641947008229,7.744936290576,303498,96707,96713,7,9,0.00226882996966099,0.288,0.0292749417403157,0.932
"DMR_13","chr14",50864006,50864415,409,"*",-1.03973835626284,9.35764520636556,123044,39953,39961,9,11,0.00251505957877149,0.316,0.0149672426680737,0.808
"DMR_14","chr6",149805995,149806339,344,"*",-1.08224185053383,7.57569295373681,363648,119417,119423,7,11,0.00262938046871565,0.316,0.0314558325638658,0.944
"DMR_15","chr20",20036632,20037150,518,"*",-1.07359744515143,7.51518211606002,250307,81454,81460,7,8,0.00274370135865981,0.324,0.0321417579035308,0.944
"DMR_16","chr6",31543219,31543686,467,"*",-0.919387160785437,11.0326459294252,349821,112068,112079,12,12,0.00243591434727169,0.34,0.00765949962625863,0.656
"DMR_17","chr1",153362927,153364020,1093,"*",-1.01444944988186,9.13004504893675,25185,8693,8701,9,9,0.00313942751615882,0.368,0.0164446203227367,0.828
"DMR_18","chr1",11795746,11796168,422,"*",-0.951348501244962,9.51348501244962,4610,1166,1175,10,13,0.00347359627138021,0.396,0.0140878512069648,0.796
"DMR_19","chr2",127413128,127413530,402,"*",-1.03208840521923,7.22461883653464,231155,76289,76295,7,10,0.00376379545354615,0.408,0.036310073429187,0.956
"DMR_20","chr17",202588,203087,499,"*",-1.01052745394497,7.07369217761481,166967,53794,53800,7,10,0.00464318691465506,0.464,0.0386052851426813,0.964
"DMR_21","chr16",57701317,57702239,922,"*",-0.999660723795627,7.99728579036501,159170,51563,51570,8,8,0.0043705755617113,0.472,0.0263729499186563,0.924
"DMR_22","chr3",152016594,152017293,699,"*",-0.993992016177958,7.95193612942366,294712,94257,94264,8,8,0.00454645385393308,0.484,0.026742294332322,0.932
"DMR_23","chr16",1538347,1538803,456,"*",-0.988441212755543,6.9190884892888,150283,48512,48518,7,8,0.00538187574198655,0.504,0.0413841621597854,0.968
"DMR_24","chr6",24910562,24911615,1053,"*",0.604392022315699,10.2746643793669,347914,109124,109140,17,17,0.00307787011388119,0.512,0.0104911401310293,0.76
"DMR_25","chr19",35630106,35630474,368,"*",-0.97395523140375,6.81768661982625,205549,67385,67391,7,8,0.00603262542320714,0.54,0.0432308842281141,0.972
"DMR_26","chr6",31590572,31590870,298,"*",-0.921407646174736,8.29266881557263,349844,112153,112161,9,11,0.0061469463131513,0.544,0.023084025854109,0.912
"DMR_27","chr19",827576,827843,267,"*",-0.972123903566083,6.80486732496258,196584,63625,63631,7,9,0.00612056456931803,0.548,0.0434771138372246,0.972
"DMR_28","chr7",150147536,150148073,537,"*",-0.848198691093775,8.48198691093775,387999,125970,125979,10,10,0.00742206393175922,0.584,0.0212900672734468,0.904
"DMR_29","chr7",27169957,27170994,1037,"*",0.661667585650231,9.26334619910323,372802,121394,121407,14,30,0.00594468627709625,0.64,0.0156179923492943,0.82
"DMR_30","chr6",31650735,31651158,423,"*",0.711579667508599,8.53895601010319,349894,112440,112451,12,18,0.00973486347447566,0.736,0.0208415776282812,0.9
"DMR_31","chr3",23851254,23851961,707,"*",-0.723540363834637,7.23540363834637,278193,88897,88906,10,12,0.0177373257705668,0.848,0.0362045464538539,0.956
"DMR_32","chr6",42928407,42928920,513,"*",0.597894097147167,7.174729165766,353218,116258,116269,12,26,0.0175350657345117,0.9,0.036995998768852,0.96
"DMR_33","chr16",66612774,66613407,633,"*",0.597608566077738,7.17130279293285,159996,51802,51813,12,12,0.017561447478345,0.9,0.0370575561711296,0.96
