"","seqnames","start","end","width","strand","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"DMR_1","chr14",24640895,24642219,1324,"*",-1.80326591241391,23.4424568613808,46666,127998,128010,13,26,0,0,0.000293422881649807,0.32
"DMR_2","chr2",85640001,85641438,1437,"*",-1.68683029880869,20.2419635857043,82962,252754,252765,12,36,0,0,0.000444580123711829,0.44
"DMR_3","chr6",42927199,42929934,2735,"*",-1.24578355728226,38.6192902757499,136332,375758,375788,31,34,2.96386749141219e-06,0.004,2.37109399312976e-05,0.032
"DMR_4","chr6",24910720,24911615,895,"*",-1.52728757456805,24.4366011930888,134853,362849,362864,16,25,2.96386749141219e-06,0.004,0.000246001001787212,0.28
"DMR_5","chr8",38830814,38832728,1914,"*",-1.61150472477856,24.1725708716784,154870,417763,417777,15,17,2.96386749141219e-06,0.004,0.000251928736770036,0.288
"DMR_6","chr7",143579698,143583199,3501,"*",-1.62472106247499,22.7460948746499,151536,406876,406889,14,15,2.96386749141219e-06,0.004,0.000305278351615456,0.332
"DMR_7","chr5",68710808,68711640,832,"*",-1.62464803115779,16.2464803115779,126049,345005,345014,10,12,2.96386749141219e-06,0.004,0.00101067881457156,0.64
"DMR_8","chr11",32450104,32455735,5631,"*",-1.09900597811434,35.1681912996589,26282,72777,72808,32,82,5.92773498282439e-06,0.008,4.44580123711829e-05,0.056
"DMR_9","chr1",39874025,39876059,2034,"*",-1.46937978982872,24.9794564270882,3263,16571,16587,17,20,5.92773498282439e-06,0.008,0.000225253929347327,0.264
"DMR_10","chr19",7459296,7460671,1375,"*",-1.60009710207695,20.8012623270004,73597,220863,220875,13,20,5.92773498282439e-06,0.008,0.000397158243849234,0.404
"DMR_11","chr21",46077454,46077729,275,"*",1.73200765929666,10.39204595578,98559,287959,287964,6,12,5.92773498282439e-06,0.008,0.00470365770887115,0.948
"DMR_12","chr8",11665358,11666810,1452,"*",-1.34728887455096,24.2511997419174,153119,413958,413975,18,26,8.89160247423658e-06,0.012,0.000248964869278624,0.284
"DMR_13","chr11",128553855,128557589,3734,"*",-1.27271617489697,24.1816073230424,32208,91685,91703,19,54,1.4819337457061e-05,0.02,0.000251928736770036,0.288
"DMR_14","chr12",104697126,104697983,857,"*",-1.46835493038896,19.0886140950565,38948,107645,107657,13,19,1.77832049484732e-05,0.02,0.000563134823368317,0.488
"DMR_15","chr8",144650730,144651767,1037,"*",-1.55443538543111,10.8810476980177,161053,427445,427451,7,95,2.96386749141219e-05,0.032,0.00397454630598375,0.928
"DMR_16","chr20",44440824,44441641,817,"*",-1.36431897978941,20.4647846968412,95123,278578,278592,15,43,2.66748074227097e-05,0.036,0.000411977581306295,0.408
"DMR_17","chr11",504301,504937,636,"*",-1.54442817677325,12.355425414186,24231,65268,65275,8,66,2.96386749141219e-05,0.036,0.00258152858502002,0.828
"DMR_18","chr4",76555347,76556389,1042,"*",-1.41633179132745,15.579649704602,116941,331027,331037,11,14,4.44580123711829e-05,0.056,0.00115294445415934,0.656
"DMR_19","chr15",72612125,72613029,904,"*",-1.22903120902463,18.4354681353694,55416,150116,150130,15,21,4.74218798625951e-05,0.06,0.000625376040687973,0.536
"DMR_20","chr2",66667039,66673985,6946,"*",-0.912274198161445,28.2805001430048,81890,250356,250386,31,67,4.74218798625951e-05,0.064,0.000139301772096373,0.168
"DMR_21","chr19",41882069,41883891,1822,"*",-1.32504060141771,18.550568419848,75863,232217,232230,14,24,5.03857473540073e-05,0.064,0.000619448305705149,0.532
"DMR_22","chr12",95941869,95943131,1262,"*",-1.08379405552591,19.5082929994664,38375,106753,106770,18,32,5.92773498282439e-05,0.068,0.00051274907601431,0.472
"DMR_23","chr3",49459591,49460177,586,"*",-1.40599322532076,14.0599322532076,104806,306931,306940,10,25,5.92773498282439e-05,0.068,0.00168940447010495,0.732
"DMR_24","chr1",1475143,1476269,1126,"*",-1.46115278425852,13.1503750583267,34,1185,1193,9,79,5.33496148454195e-05,0.068,0.00211620138886831,0.768
"DMR_25","chr5",67583961,67584297,336,"*",-1.46088518343139,13.1479666508825,125968,344858,344866,9,24,5.33496148454195e-05,0.068,0.00212212912385113,0.772
"DMR_26","chr7",26192756,26193805,1049,"*",-1.58101234627128,7.90506173135639,144821,394083,394087,5,18,6.81689523024805e-05,0.08,0.0107084532464723,0.988
"DMR_27","chr4",81118188,81119473,1285,"*",-1.33035187196929,15.9642224636315,117240,331506,331517,12,65,8.59521572509536e-05,0.096,0.00106106456192557,0.648
"DMR_28","chr7",751233,752800,1567,"*",-1.15517844921922,17.3276767382884,143322,388296,388310,15,28,8.59521572509536e-05,0.104,0.000788388752715644,0.588
"DMR_29","chr17",2169272,2169989,717,"*",1.43480020204663,11.4784016163731,63043,181551,181558,8,12,8.29882897595414e-05,0.104,0.00330767612041601,0.892
"DMR_30","chr1",228644750,228647248,2498,"*",-0.942212451001761,19.786461471037,13764,42010,42030,21,49,9.78076272166024e-05,0.116,0.0004860742685916,0.46
"DMR_31","chr5",178986131,178986906,775,"*",-1.18721077862726,16.6209509007816,132702,358818,358831,14,16,0.000124482434639312,0.12,0.000930654392303429,0.616
"DMR_32","chr11",72929054,72930456,1402,"*",-1.17855840224388,16.4998176314144,28633,84200,84213,14,26,0.000124482434639312,0.12,0.00094547372976049,0.616
"DMR_33","chr1",66998484,66999933,1449,"*",-1.00942517066484,18.1696530719672,5324,22293,22310,18,21,0.000112626964673663,0.124,0.000669834053059156,0.556
"DMR_34","chr6",30042626,30043829,1203,"*",-0.850830588248631,22.1215952944644,135288,365553,365578,26,182,0.000115590832165076,0.14,0.000328989291546754,0.34
"DMR_35","chr16",1820949,1822124,1175,"*",-1.31340892259589,13.1340892259589,57673,159102,159111,10,135,0.000145229507079198,0.144,0.00212212912385113,0.772
"DMR_36","chr10",81966886,81967666,780,"*",-1.33128775129588,11.981589761663,20385,54117,54125,9,28,0.000168940447010495,0.164,0.00288977080412689,0.84
"DMR_37","chr6",28602513,28603292,779,"*",-0.761769060026329,22.8530718007899,135187,364251,364280,30,47,0.000139301772096373,0.176,0.000299350616632632,0.328
"DMR_38","chr17",27346732,27347260,528,"*",-1.39420179693927,8.36521078163564,64661,188884,188889,6,9,0.000174868181993319,0.176,0.00911092866860108,0.984
