"","seqnames","start","end","width","strand","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"DMR_1","chr6",24910720,24911615,895,"*",-1.52604901038482,24.4167841661571,347914,109125,109140,16,17,0,0,0.000319606245106029,0.136
"DMR_2","chr6",42927940,42928920,980,"*",-1.42309302503579,37.0004186509307,353218,116244,116269,26,26,7.99015612765073e-06,0.004,4.79409367659044e-05,0.024
"DMR_3","chr8",11665774,11666810,1036,"*",-1.48243222313102,23.7189155700963,392864,126917,126932,16,16,1.59803122553015e-05,0.004,0.000351566869616632,0.144
"DMR_4","chr14",24640895,24641706,811,"*",-1.81161027082059,21.7393232498471,121079,39016,39027,12,12,1.59803122553015e-05,0.008,0.000527350304424948,0.208
"DMR_5","chr19",7459697,7460327,630,"*",-1.87227220900046,16.8504498810042,199823,64667,64675,9,9,1.59803122553015e-05,0.008,0.00166195247455135,0.436
"DMR_6","chr1",39874802,39875069,267,"*",-1.68318215881686,20.1981859058023,12601,3654,3665,12,12,2.39704683829522e-05,0.012,0.00075906483212682,0.26
"DMR_7","chr8",38831148,38831857,709,"*",-1.71374720822991,18.8512192905291,397070,128044,128054,11,11,3.19606245106029e-05,0.016,0.0010387202965946,0.32
"DMR_8","chr2",85640762,85641438,676,"*",-1.61245904216632,17.7370494638296,226052,75029,75039,11,11,7.19114051488566e-05,0.028,0.00139827732233888,0.404
"DMR_9","chr12",104697126,104697620,494,"*",-1.56525804845686,18.7830965814824,101705,33495,33506,12,12,9.58818735318088e-05,0.032,0.0010706809211052,0.328
"DMR_10","chr20",44440824,44441641,817,"*",-1.31789904749803,19.7684857124705,254708,82924,82938,15,17,9.58818735318088e-05,0.04,0.00087092701791393,0.292
"DMR_11","chr6",30042626,30043924,1298,"*",-0.845412791031121,22.8261453578403,349223,110434,110460,27,37,0.00010387202965946,0.048,0.000407497962510187,0.168
"DMR_12","chr5",68710808,68711640,832,"*",-1.57149173398417,15.7149173398417,327645,103136,103145,10,10,0.000135832654170062,0.048,0.0021893027789763,0.508
"DMR_13","chr22",51066142,51066517,375,"*",-1.65162254755656,6.60649019022625,274776,87991,87994,4,11,0.00011186218578711,0.048,0.0448327660322483,0.996
"DMR_14","chr19",13135318,13135808,490,"*",-1.54818527040216,15.4818527040216,201718,65895,65904,10,10,0.000159803122553015,0.056,0.00228518465250811,0.512
"DMR_15","chr4",76555347,76556042,695,"*",-1.52521295077366,15.2521295077366,309647,98231,98240,10,10,0.000159803122553015,0.056,0.00239704683829522,0.516
"DMR_16","chr19",41882069,41882741,672,"*",-1.36393768627795,17.7311899216133,207428,68543,68555,13,13,0.000151812966425364,0.06,0.00140626747846653,0.404
"DMR_17","chr3",147125712,147127193,1481,"*",-0.801388875145471,22.4388885040732,293936,94040,94067,28,28,0.000127842498042412,0.064,0.000455438899276092,0.18
"DMR_18","chr12",95941571,95943131,1560,"*",-1.01355703292199,19.2575836255178,100609,33040,33058,19,19,0.000167793278680665,0.076,0.000934848266935136,0.296
"DMR_19","chr6",33160604,33161849,1245,"*",-0.904517173755899,19.8993778226298,350575,114612,114633,22,34,0.000159803122553015,0.08,0.000822986081148026,0.272
"DMR_20","chr11",32454718,32455735,1017,"*",-1.24368218757758,16.1678684385086,69237,21723,21735,13,13,0.000247694839957173,0.084,0.00194959809514678,0.48
"DMR_21","chr6",28602513,28603292,779,"*",-0.771317736330279,23.1395320899084,348789,109679,109708,30,34,0.000175783434808316,0.088,0.000375537337999584,0.152
