"","seqnames","start","end","width","strand","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"DMR_1","chr6",29648161,29649092,931,"*",1.70385992001298,39.1887781602985,349091,110177,110199,23,23,2.31964741359313e-05,0.012,0.000355679270084281,0.156
"DMR_2","chr11",67417958,67418365,407,"*",2.63195550250082,23.6875995225074,75557,24512,24520,9,9,0.000108250212634346,0.04,0.00265986236758679,0.568
"DMR_3","chr6",30095136,30095802,666,"*",-1.33641519460187,29.4011342812412,349249,110534,110555,22,25,0.000293822005721797,0.136,0.00108250212634346,0.344
"DMR_4","chr4",1201315,1203001,1686,"*",1.34254749627595,25.508402429243,301650,96224,96242,19,22,0.000417536534446764,0.18,0.00188664656305575,0.464
"DMR_5","chr4",4859772,4860698,926,"*",-1.3101541790159,24.8929294013021,303041,96572,96590,19,19,0.000479393798809248,0.204,0.00213407562050568,0.504
"DMR_6","chr6",24910562,24911615,1053,"*",-1.42797966621431,24.2756543256432,347914,109124,109140,17,17,0.000649501275806077,0.256,0.00238923683600093,0.54
"DMR_7","chr15",72612125,72612853,728,"*",1.61736622492405,22.6431271489367,143265,46180,46193,14,17,0.000780947962576355,0.284,0.00312379185030542,0.608
"DMR_8","chr1",27709634,27710030,396,"*",-1.73802233385684,20.8562680062821,9484,2519,2530,12,15,0.00122941312920436,0.328,0.00445372303409882,0.688
"DMR_9","chr11",69468789,69469820,1031,"*",1.53314601927213,19.9308982505377,76251,24725,24737,13,13,0.00138405629011057,0.428,0.00528106394494703,0.736
"DMR_10","chr19",52390810,52391789,979,"*",-1.38018987500508,19.3226582500712,211021,70275,70288,14,14,0.00206448619809789,0.532,0.0059228330627078,0.768
"DMR_11","chr9",91605494,91606223,729,"*",-1.64021509587434,18.0423660546177,416180,132229,132239,11,12,0.00248975489058996,0.532,0.00761617567463079,0.856
"DMR_12","chr1",109203837,109204821,984,"*",1.23255530044216,18.4883295066324,21724,6965,6979,15,18,0.00201809324982603,0.54,0.00689708497641692,0.832
"DMR_13","chr1",24645793,24646392,599,"*",-1.36315956160982,19.0842338625375,8384,2008,2021,14,14,0.00215727209464161,0.544,0.00623211938452022,0.78
"DMR_14","chr12",110252596,110253030,434,"*",1.793101045681,14.344808365448,102923,33884,33891,8,10,0.00371143586174901,0.576,0.0174205520760844,0.936
